combined_LN_type,broad_LN_group,n_ln_body_ids,source_LN_types,source_LN_instances,orn_input_total,pn_output_weight_total,mean_pn_output_weight_total,median_pn_output_weight_total,mean_contra_orn_preference_weighted,median_contra_orn_preference_weighted,mean_sum_pn_output_percent,median_sum_pn_output_percent,mean_max_glomerulus_pn_output_percent,mean_pn_weighted_contra_orn_preference,mean_body_convergence_score,sum_body_convergence_score,type_score_rank,log_mean_pn_output_weight_total
il3LN6,il3LN,2,il3LN6,il3LN6_L;il3LN6_R,12758.0,3850.0,1925.0,1925.0,0.6587221002588273,0.6587221002588273,28.711704737130283,28.711704737130283,7.821914199891829,0.48686234543177187,4.980643345044764,9.961286690089528,1,3.2846562827885157
lLN2S,lLN2S,6,lLN2S,lLN2S(Star)_R,5305.0,6631.0,1105.1666666666667,1180.5,0.582079669085152,0.5780009526833916,27.02168857639811,26.57885822323565,5.389019632973007,0.47150182067129465,4.068337807756599,24.410026846539594,2,3.043820567258399
lLN2F,lLN2F,4,lLN2F_a;lLN2F_b,lLN2F_a(Full)_R;lLN2F_b(Full)_R,22072.0,6791.0,1697.75,1723.5,0.47860784717819055,0.48928591928104037,12.45571157026539,12.138622949800624,2.257887971369745,0.3714723174211287,3.557484046407107,14.229936185628429,3,3.2301294697405507
l2LN18,l2LN,1,l2LN18,l2LN18_R,1284.0,2046.0,2046.0,2046.0,0.45482866043613707,0.45482866043613707,35.6383905242989,35.6383905242989,5.434593276432677,0.28714352308902946,3.4676731012665054,3.4676731012665054,4,3.311117842662506
lLN2T,lLN2T,16,lLN2T_a;lLN2T_b;lLN2T_c;lLN2T_d;lLN2T_e,lLN2T_a(Tortuous)_R;lLN2T_b(Tortuous)_R;lLN2T_c(Tortuous)_R;lLN2T_d(Tortuous)_R;lLN2T_e(Tortuous)_R,29471.0,26552.0,1659.5,1676.5,0.3480590108122789,0.33167475655160383,32.10006037889811,31.9558935694012,5.778137241515906,0.24902392778662263,2.5441187068906124,40.7058993102498,5,3.220238879934404
lLN2R,lLN2R,5,lLN2R_a;lLN2R_b,lLN2R_a(Regional)_R;lLN2R_b(Regional)_R,2558.0,2693.0,538.6,553.0,0.3373191349086436,0.4256410256410256,27.801013400657887,20.000000000000004,7.380144866429896,0.26502700057277834,2.3043635131845313,11.521817565922657,6,2.732071940999867
v2LN30,v2LN3,1,v2LN30,v2LN30_R,1563.0,5169.0,5169.0,5169.0,0.26423544465770954,0.26423544465770954,83.22331347609082,83.22331347609082,19.35276123007567,0.0016637789797713876,2.2593789830956634,2.2593789830956634,7,3.7134905430939424
lLN16b,other lLN,4,lLN16b,lLN16b_R,139.0,415.0,103.75,87.5,0.5172443303380403,0.6157894736842104,68.37718266249668,64.56490883284202,56.11626558173555,0.4690065712622104,1.5815539879881682,6.326215951952673,8,2.020154031638333
v2LN35,v2LN3,3,v2LN35,v2LN35_R,302.0,352.0,117.33333333333333,87.0,0.3826734413447097,0.3684210526315789,18.918445836284565,14.846416382252558,11.149626762172948,0.3723290826762122,1.5238275521389262,4.571482656416778,9,2.0731070983354316
lLN13,other lLN,1,lLN13,lLN13_R,25.0,206.0,206.0,206.0,0.52,0.52,66.66666666666667,66.66666666666667,38.83495145631068,0.4583333333333333,1.386506886248996,1.386506886248996,10,2.315970345456918
lLN2P,lLN2P,14,lLN2P_a;lLN2P_b;lLN2P_c,lLN2P_a(Patchy)_R;lLN2P_b(Patchy)_R;lLN2P_c(Patchy)_R,12799.0,16426.0,1173.2857142857142,1123.0,0.17885798933328306,0.20467775768834534,50.57212897643801,53.824759000590205,20.12532354986632,0.07138841489275029,1.2625045936725279,17.67506431141539,11,3.0697737775257936
lLN1,lLN1,16,lLN1_a;lLN1_b;lLN1_c,lLN1_a_R;lLN1_b_R;lLN1_c_R,2196.0,24663.0,1541.4375,1512.0,0.0705167087983767,0.05208898534997287,36.722762269086076,36.06207337166684,7.154707410993845,-0.017331763108907536,0.676563734427331,10.825019750837296,12,3.188207575327619
lLN12a,other lLN,3,lLN12a,lLN12a_R,113.0,938.0,312.6666666666667,299.0,-0.025865126412322036,-0.11764705882352941,80.55377007018619,74.5635910224439,18.797588229329026,-0.21183764933764934,0.5323530309679121,1.5970590929037363,13,2.4964683687075944
lLN11,other lLN,3,lLN11,lLN11_R,114.0,612.0,204.0,235.0,0.06242651799597982,0.09090909090909091,61.00296079920017,66.19718309859155,19.358712909152604,-0.14653469731868907,0.23698914529670634,0.710967435890119,14,2.311753861055754
lLN12b,other lLN,1,lLN12b,lLN12b_R,30.0,366.0,366.0,366.0,0.06666666666666667,0.06666666666666667,65.12455516014235,65.12455516014235,18.505338078291814,0.2383241758241758,0.2362144739221828,0.2362144739221828,15,2.5646660642520893
v2LN3b,v2LN3,3,v2LN3b,v2LN3b_R,774.0,670.0,223.33333333333334,208.0,-0.3602903400560929,-0.4878048780487805,24.853148535336103,24.749772520473158,12.118110127664268,-0.4381820056386872,0.14291900484480624,0.4287570145344187,16,2.3508938095043144
v2LN47,other v2LN,3,v2LN47,v2LN47_R,167.0,52.0,17.333333333333332,22.0,-0.10316742081447962,-0.015384615384615385,31.606837606837605,26.666666666666668,30.866096866096864,0.11764705882352941,0.1262304245046353,0.37869127351390597,17,1.2632414347745813
v2LN42,other v2LN,1,v2LN42,v2LN42_R,98.0,79.0,79.0,79.0,-1.0,-1.0,34.34782608695652,34.34782608695652,33.47826086956522,,0.0,0.0,27,1.9030899869919435
v2LN33,v2LN3,1,v2LN33,v2LN33_R,26.0,79.0,79.0,79.0,-1.0,-1.0,20.20460358056266,20.20460358056266,20.20460358056266,,0.0,0.0,34,1.9030899869919435
lLN8,other lLN,2,lLN8,lLN8_R,637.0,553.0,276.5,276.5,-0.8568321315773793,-0.8568321315773793,42.07321670939527,42.07321670939527,13.28042527522244,-0.8726800523369702,0.0,0.0,33,2.443262987458695
lLN7,other lLN,1,lLN7,lLN7_R,72.0,38.0,38.0,38.0,-0.3611111111111111,-0.3611111111111111,5.873261205564143,5.873261205564143,2.472952086553323,0.16444444444444442,0.0,0.0,32,1.591064607026499
lLN17,other lLN,2,lLN17,lLN17_R,90.0,642.0,321.0,321.0,-0.3650793650793651,-0.3650793650793651,66.8481482294571,66.8481482294571,30.46102171192729,-0.8828150184886698,0.0,0.0,31,2.507855871695831
lLN16a,other lLN,2,lLN16a,lLN16a_R,68.0,145.0,72.5,72.5,-0.8541666666666667,-0.8541666666666667,63.59649122807018,63.59649122807018,55.263157894736835,-0.4357142857142857,0.0,0.0,30,1.866287339084195
l2LN19,l2LN,2,l2LN19,l2LN19_R,221.0,536.0,268.0,268.0,-0.31128702757916243,-0.31128702757916243,43.956043956043956,43.956043956043956,15.698587127158557,-0.39932646050329523,0.0,0.0,29,2.429752280002408
lLN14,other lLN,2,lLN14,lLN14_R,64.0,155.0,77.5,77.5,-0.6468253968253967,-0.6468253968253967,54.657629475147715,54.657629475147715,29.763146134366153,-1.0,0.0,0.0,28,1.8948696567452525
v2LN40,other v2LN,2,v2LN40,v2LN40_R,362.0,177.0,88.5,88.5,-0.9968652037617555,-0.9968652037617555,23.86415433290433,23.86415433290433,19.46421868296868,-0.9967623873873874,0.0,0.0,18,1.951823035315912
v2LN45,other v2LN,1,v2LN45,v2LN45_R,35.0,15.0,15.0,15.0,-1.0,-1.0,15.151515151515152,15.151515151515152,15.151515151515152,,0.0,0.0,26,1.2041199826559248
v2LN46,other v2LN,3,v2LN46,v2LN46_R,202.0,83.0,27.666666666666668,27.0,-0.5199058251689831,-0.43157894736842106,26.359693026359697,27.77777777777778,22.822822822822825,0.005850487540628405,0.0,0.0,25,1.4573771965239053
vLN24,vLN,2,vLN24,vLN24;vLN24_R,684.0,680.0,340.0,340.0,-0.09652317880794702,-0.09652317880794702,27.226486274578644,27.226486274578644,19.26686092606733,-0.08114008654388696,0.0,0.0,24,2.5327543789924976
vLN25,vLN,2,vLN25,vLN25;vLN25_R,1462.0,598.0,299.0,299.0,-0.9210259306320298,-0.9210259306320298,35.85573207385144,35.85573207385144,34.66323171604408,-0.8960505718689229,0.0,0.0,23,2.4771212547196626
lLN10,other lLN,1,lLN10,lLN10_R,98.0,444.0,444.0,444.0,-0.6326530612244898,-0.6326530612244898,38.81118881118881,38.81118881118881,19.318181818181817,-0.7934640522875818,0.0,0.0,22,2.6483600109809315
v2LN36,v2LN3,1,v2LN36,v2LN36_R,2738.0,2537.0,2537.0,2537.0,-0.647918188458729,-0.647918188458729,79.95587771824772,79.95587771824772,21.46233848093287,-0.7924844578430975,0.0,0.0,21,3.404491617758686
v2LN37,v2LN3,1,v2LN37,v2LN37_R,422.0,362.0,362.0,362.0,-0.6682464454976303,-0.6682464454976303,30.292887029288707,30.292887029288707,18.242677824267783,-0.668136754913087,0.0,0.0,20,2.5599066250361124
v2LN3a,v2LN3,4,v2LN3a,v2LN3a_R,1413.0,492.0,123.0,117.0,-0.7325293951236829,-0.7093012144897901,19.014913621285622,20.197044334975367,13.475610667114665,-0.6384946138903593,0.0,0.0,19,2.093421685162235
v2LN31,v2LN3,1,v2LN31,v2LN31_R,1285.0,434.0,434.0,434.0,-0.8038910505836576,-0.8038910505836576,48.49162011173184,48.49162011173184,43.24022346368715,-0.8043411186117396,0.0,0.0,35,2.6384892569546374
