combined_LN_type,broad_LN_group,n_ln_body_ids,source_LN_types,source_LN_instances,orn_input_total,pn_output_weight_total,mean_pn_output_weight_total,median_pn_output_weight_total,mean_contra_orn_preference_weighted,median_contra_orn_preference_weighted,mean_sum_pn_output_percent,median_sum_pn_output_percent,mean_max_glomerulus_pn_output_percent,mean_pn_weighted_contra_orn_preference,mean_body_convergence_score,sum_body_convergence_score,type_score_rank
CB3679,other,2,CB3679,CB3679_L;CB3679_R,269.0,858.0,429.0,429.0,-0.49456975772765244,-0.49456975772765244,23.108054904014544,23.108054904014544,5.213751879564269,-0.3311361571465029,0.0,0.0,51
l2LN19,l2LN,4,l2LN19,l2LN19_L;l2LN19_R,405.0,1778.0,444.5,443.5,-0.2965226970402395,-0.2657258064516129,14.464019335120717,14.195927013366582,4.762123860611155,-0.4015932000598192,0.0,0.0,49
ALBN1,other,2,ALBN1,ALBN1_L;ALBN1_R,4404.0,389.0,194.5,194.5,-0.8964117404840051,-0.8964117404840051,14.339184399308031,14.339184399308031,7.482156466617472,-0.8605280201954236,0.0,0.0,45
LN60a,other,4,LN60a,LN60a_L;LN60a_R,1622.0,6415.0,1603.75,1549.5,-0.5866697436903012,-0.5894013153375919,38.799947531826106,38.851398219441265,5.007885923243563,-0.5761572586376154,0.0,0.0,48
CB1141,other,1,CB1141,CB1141_R,47.0,113.0,113.0,113.0,-0.19148936170212766,-0.19148936170212766,15.311653116531165,15.311653116531165,13.956639566395665,0.3333333333333333,0.0,0.0,47
CB1132,other,1,CB1132,CB1132_L,28.0,335.0,335.0,335.0,-0.7142857142857143,-0.7142857142857143,18.117901568415355,18.117901568415355,3.028664142779881,-0.7770154373927959,0.0,0.0,46
v2LN46,other v2LN,7,v2LN46a;v2LN46b,v2LN46a_L;v2LN46b_L;v2LN46b_R,693.0,369.0,52.714285714285715,57.0,-0.4208431832789456,-0.37373737373737376,9.509852727311339,9.076682316118937,9.105775990117726,-0.4604909099484705,0.1751134451987674,1.2257941163913717,29
CB1546,other,4,CB1546,CB1546_L;CB1546_R,209.0,1461.0,365.25,374.5,-0.5994252873563218,-0.8555555555555556,18.984393566345126,18.915449663915922,7.552598083962268,-0.30539512468056906,0.3319514787888616,1.3278059151554464,28
CB1266,other,3,CB1266,CB1266_L;CB1266_R,2066.0,1164.0,388.0,539.0,0.07264667454715287,0.04420350291909925,10.190076173425721,10.111350574712644,8.09269793605143,0.13488000984958623,0.44733453254749267,1.342003597642478,27
CB2527,other,2,CB2527,CB2527_L;CB2527_R,60.0,120.0,60.0,60.0,-0.11784511784511786,-0.11784511784511786,6.499041454515471,6.499041454515471,5.434162698494499,-0.52,0.5278575913710345,1.055715182742069,26
lLN13,other lLN,1,lLN13,lLN13_R,25.0,273.0,273.0,273.0,0.28,0.28,16.666666666666668,16.666666666666668,7.753357753357753,0.5204081632653061,0.78583793489433,0.78583793489433,25
CB1676,other,4,CB1676,CB1676_L;CB1676_R,796.0,1039.0,259.75,271.5,-0.09372703092770478,-0.07126767313683202,7.848822641332125,7.83977614243269,2.4499590154027793,-0.03585385068788656,0.8173031116464748,3.2692124465858994,24
vLN24,vLN,2,vLN24,vLN24_L;vLN24_R,218.0,538.0,269.0,269.0,0.04902246863145608,0.04902246863145608,5.130792761319451,5.130792761319451,4.482845166964119,-0.044098178757269665,0.8477788092656233,1.6955576185312466,23
CB3633,other,3,CB3633,CB3633_L;CB3633_R,324.0,170.0,56.666666666666664,63.0,0.21819749405138397,0.21008403361344538,3.2002159444798273,3.401700850425213,1.935737895290913,0.6392469996128533,0.8650430345438282,2.5951291036314847,22
v2LN47,other v2LN,4,v2LN47,v2LN47_L;v2LN47_R,218.0,211.0,52.75,48.0,0.1679532322137956,0.2109064644275912,13.099759077020604,12.381885303799661,12.330947317962705,0.34486817325800373,0.92800978684641,3.71203914738564,21
CB2822,other,1,CB2822,CB2822_L,34.0,59.0,59.0,59.0,0.47058823529411764,0.47058823529411764,7.040572792362769,7.040572792362769,6.085918854415275,0.4583333333333333,1.3101902599110722,1.3101902599110722,20
